"Data","Lançamento","Categoria","Tipo","Valor"
"09/11/2024","Workmeatacougue","SUPERMERCADO","Compra à vista","R$ 118,01"
"09/11/2024","Mercado Sempre Mais Lt","SUPERMERCADO","Compra à vista","R$ 37,68"
"07/11/2024","Caristo Farma Drogaria Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 52,99"
"05/11/2024","Pagamento De Fatura","OUTROS","Compra à vista","-R$ 3.547,66"
"05/11/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 23,90"
"05/11/2024","Rocha Servicos De Barb Sao Paulo     Bra","OUTROS","Compra à vista","R$ 40,00"
"03/11/2024","Milenaoliveira         Osasco        Bra","SUPERMERCADO","Compra à vista","R$ 20,00"
"03/11/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 133,94"
"03/11/2024","Almodovar Bomboniere   Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 27,00"
"03/11/2024","Lanchonetee            Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 29,00"
"03/11/2024","Iof Internacional","OUTROS","Compra à vista","R$ 2,49"
"03/11/2024","Steamgames.com 4259522 Bellevue      Wa","OUTROS","Compra à vista","R$ 56,90"
"03/11/2024","Nacholitas Cantareira  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 60,00"
"03/11/2024","Belas Artes            Sao Paulo     Bra","OUTROS","Compra à vista","R$ 36,00"
"02/11/2024","Ifd*mi Madre Tatuape L Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 68,89"
"02/11/2024","Google Wm Max Llc      Sao Paulo     Bra","OUTROS","Compra à vista","R$ 39,90"
"02/11/2024","Curry's                Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 106,70"
"02/11/2024","Cinemark Eldorado      Sao Paulo     Bra","CULTURA","Compra à vista","R$ 72,00"
"01/11/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 19,44"
"01/11/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 52,49"
"31/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 15,00"
"31/10/2024","Uber Uber *trip Help.u Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 20,65"
"31/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 24,93"
"30/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 14,00"
"29/10/2024","Odeteaparecida         Sao Paulo     Bra","OUTROS","Compra à vista","R$ 12,00"
"29/10/2024","Mp *lmmfrutas          Osasco        Bra","COMPRAS","Compra à vista","R$ 6,00"
"29/10/2024","Smart Solutions        Sao Paulo     Bra","VESTUARIO","Compra à vista","R$ 114,90"
"29/10/2024","Maryanecomeriode       Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 25,00"
"29/10/2024","Odeteaparecida         Sao Paulo     Bra","OUTROS","Compra à vista","R$ 11,99"
"29/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 11,09"
"29/10/2024","Verduras Fava          Suzano        Bra","SUPERMERCADO","Compra à vista","R$ 8,00"
"29/10/2024","Sacolao Arapoca        Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 7,00"
"29/10/2024","Fernando Me            Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 89,00"
"27/10/2024","Ifd*lamiaparmig732e518 Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 55,89"
"27/10/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 100,48"
"27/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 6,65"
"26/10/2024","Pague Menos","DROGARIA","Compra à vista","R$ 205,39"
"26/10/2024","Ifood  *ifd*nine Nine  Vila Yara Osa Bra","SUPERMERCADO","Compra à vista","R$ 113,70"
"25/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 15,97"
"25/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 4,45"
"25/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 24,00"
"25/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 15,97"
"25/10/2024","Sweetco                Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 11,90"
"24/10/2024","Antoniocarlosjose      Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 19,00"
"24/10/2024","App    *astroworld","OUTROS","Compra à vista","R$ 176,34"
"24/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 24,00"
"23/10/2024","Ricardogomesde         Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 14,00"
"23/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 24,00"
"23/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 3,00"
"22/10/2024","Pague Menos","DROGARIA","Compra à vista","R$ 228,90"
"22/10/2024","Ifd*restaurante E Lanc Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 22,54"
"22/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 11,09"
